code,brand,product_name,categories,ingredients,ingredients_source,fragrance_free,hypoallergenic,derm_tested,open_beauty_facts_url,source
30171558,L'OREAL NORGE AS,Maybelline New York Fit Me 06 Nude Concealer,"Makeup, nl:Beauty, nl:Concealer","G852443 - WATER (AQUA), CYCLOPENTASILOXANE, HYDROGENATED POLYISOBUTENE, GLYCERIN, SORBITAN ISOSTEARATE, PROPYLENE GLYCOL, TITANIUM DIOXIDE, OZOKERITE, PHENOXYETHANOL, MAGNESIUM SULFATE, DISTEARDIMONIUM HECTORITE, DISODIUM STEAROYL GLUTAMATE, METHYLPARABEN, ACRYLATES CROSSPOLYMER, ALUMINA, BUTYLPARABEN, ALUMINUM HYDROXIDE, TOCOPHEROL, SILICA, CHAMOMILLA RECUTITA (MATRICARIA FLOWER EXTRACT), MAY CONTAIN (+/-): (CI 77891), IRON OXIDES (CI 77491, 77492, 77499), MICA F.I.L. D43567/2",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/30171558/maybelline-concealer-fit-me-vanilla-06-l-oreal-norge-as,open_beauty_facts
30096592,L'OREAL NORGE AS,Maybelline New York Fit Me 15 Fair Concealer,"Makeup, nl:Beauty, nl:Concealer","AQUA / WATER / EAU, CYCLOPENTASILOXANE, HYDROGENATED POLYISOBUTENE, SORBITAN ISOSTEARATE, GLYCERIN, PROPYLENE GLYCOL, TITANIUM DIOXIDE [NANO] / TITANIUM DIOXIDE, CERA MICROCRISTALLINA / MICROCRYSTALLINE WAX / CIRE MICROCRISTALLINE, PHENOXYETHANOL, MAGNESIUM SULFATE, DISODIUM STEAROYL GLUTAMATE, DISTEARDIMONIUM HECTORITE, METHYLPARABEN, SILICA SILYLATE, ALUMINUM HYDROXIDE, PARAFFIN, ALUMINA, STEARIC ACID, ETHYLHEXYLGLYCERIN, TOCOPHEROL, POLYETHYLENE, TIN OXIDE, CHAMOMILLA RECUTITA FLOWER EXTRACT / MATRICARIA FLOWER EXTRACT",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/30096592/maybelline-fit-me-concealer-fair-15-l-oreal-norge-as,open_beauty_facts
3600530733842,L'OREAL NORGE AS,Maybelline New York Instant Anti Age Eraser 01 Light Concealer,"Makeup, nl:Beauty, nl:Concealer","CYCLOPENTASILOXANE, AQUA / WATER, ETHYLHEXYL METHOXYCINNAMATE, DIMETHICONE CROSSPOLYMER, GLYCERIN, ISOTRIDECYL ISONONANOATE, PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, DISTEARDIMONIUM HECTORITE, PHENOXYETHANOL, PEG-10 DIMETHICONE, HYDROLYZED WHEAT PROTEIN/PVP CROSSPOLYMER, DISODIUM STEAROYL GLUTAMATE, CHLORPHENESIN, METHYLPARABEN, LYCIUM BARBARUM FRUIT EXTRACT, ACRYLATES COPOLYMER, POTASSIUM SORBATE, ETHYLPARABEN, TOCOPHEROL, ASCORBYL PALMITATE, PANTHENOL, PEG-9, ALUMINUM HYDROXIDE, CITRIC ACID, SODIUM PCA, UREA, TREHALOSE",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/3600530733842/maybelline-concealer-instant-age-rewind-light-1-l-oreal-norge-as,open_beauty_facts
3600523500185,L'OREAL NORGE AS,True Match Concealer Rose Vanilla 2R/C,"non-food-products, open-beauty-facts","AQUA / WATER / EAU, CYCLOPENTASILOXANE, HYDROGENATED POLYISOBUTENE, GLYCERIN SORBITAN ISOSTEARATE, PROPYLENE GLYCOL, TITANIUM DIOXIDE, OZOKERITE, PHENOXYETHANOL, MAGNESIUM SULFATE, DISTEARDIMONIUM HECTORITE, DISODIUM STEAROYL GLUTAMATE, METHYLPARABEN, ACRYLATES COPOLYMER, BUTYLPARABEN ALUMINUM HYDROXIDE, ALUMINA, MAGNESIUM ASCORBYL PHOSPHATE, CALCIUM PANTETHEINE SULFONATE, DEXTRAN SULFATE, SILICA[+/- MAY CONTAIN : CI 77891 / TITANIUM DIOXIDE, CI 77499, CI 77492, CI 77491 / IRON OXIDES MICA ]",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/3600523500185/true-match-concealer-rose-vanilla-2r-c-l-oreal-norge-as,open_beauty_facts
9344329278612,L'Oréal,L'Oreal Paris True Match Radiant Serum Concealer 2c 10mL,,"G2047921 - INGREDIENTS: AQUA / WATER - ISODODECANE - DIMETHICONE - ALCOHOL DENAT. - BUTYLENE GLYCOL - GLYCERIN - TRIMETHYLSILOXYSILICATE - DIPHENYLSILOXY PHENYL TRIMETHICONE - SYNTHETIC FLUORPHLOGOPITE - PEG-10 DIMETHICONE - NIACINAMIDE - SODIUM HYALURONATE - SILICA - DISTEARDIMONIUM HECTORITE - ISOPROPYL LAUROYL SARCOSINATE - DIISOPROPYL SEBACATE - MAGNESIUM SULFATE - DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER - BIS-PEG/PPG-14/14 DIMETHICONE - DISODIUM STEAROYL GLUTAMATE - PHENOXYETHANOL - PROPYLENE CARBONATE - CAFFEINE - DIPENTAERYTHRITYL TETRAHYDROXYSTEARATE/TETRAISOSTEARATE - SILICA SILYLATE - TOCOPHEROL - ALUMINUM HYDROXIDE - TIN OXIDE [+/- MAY CONTAIN: CI 77891 / TITANIUM DIOXIDE - CI 77491, CI 77492, CI 77499 / IRON OXIDES - MICA - CI 77163 / BISMUTH OXYCHLORIDE]. (F.I.L. Z70031569/1). Please be aware that ingredient lists for the products of our brand are updated regularly. Please refer to the ingredient list on your product package for the most up to date list of ingredients to ensure it is suitable to your personal use.",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/9344329278612/l-oreal-paris-true-match-radiant-serum-concealer-2c-10ml,open_beauty_facts
9344329278384,L'Oréal,L'oreal Paris True Match Radiant Serum Concealer 1n 10mL,,"G2047921 - INGREDIENTS: AQUA / WATER - ISODODECANE - DIMETHICONE - ALCOHOL DENAT. - BUTYLENE GLYCOL - GLYCERIN - TRIMETHYLSILOXYSILICATE - DIPHENYLSILOXY PHENYL TRIMETHICONE - SYNTHETIC FLUORPHLOGOPITE - PEG-10 DIMETHICONE - NIACINAMIDE - SODIUM HYALURONATE - SILICA - DISTEARDIMONIUM HECTORITE - ISOPROPYL LAUROYL SARCOSINATE - DIISOPROPYL SEBACATE - MAGNESIUM SULFATE - DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER - BIS-PEG/PPG-14/14 DIMETHICONE - DISODIUM STEAROYL GLUTAMATE - PHENOXYETHANOL - PROPYLENE CARBONATE - CAFFEINE - DIPENTAERYTHRITYL TETRAHYDROXYSTEARATE/TETRAISOSTEARATE - SILICA SILYLATE - TOCOPHEROL - ALUMINUM HYDROXIDE - TIN OXIDE [+/- MAY CONTAIN: CI 77891 / TITANIUM DIOXIDE - CI 77491, CI 77492, CI 77499 / IRON OXIDES - MICA - CI 77163 / BISMUTH OXYCHLORIDE]. (F.I.L. Z70031569/1). Please be aware that ingredient lists for the products of our brand are updated regularly. Please refer to the ingredient list on your product package for the most up to date list of ingredients to ensure it is suitable to your personal use.",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/9344329278384/l-oreal-paris-true-match-radiant-serum-concealer-1n-10ml,open_beauty_facts
0773602657070,MAC,Studio Radiance 24HR Luminous Lift Concealer NC11,"Makeup, Concealer","WATER AQUAVEAU, PHENYL TRIMETHICONE, TRIMETHYLSILOXYSILICATE, METHYL TRIMETHICONE, GLYCERIN, C9-12 ALKANE, NIACINAMIDE, BUTYLENE GLYCOL, NEOPENTYL GLYCOL DIHEPTANOATE, ASCORBYL GLUCOSIDE, LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, SILICA, OLEA EUROPAEA (OLIVE) FRUIT OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, HYDROGENATED POLYISOBUTENE, POLYSILICONE-11, HYDROXYETHYL UREA, ALGAE EXTRACT, TOCOPHERYL ACETATE, SODIUM PCA, HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT, CAFFEINE, SODIUM HYALURONATE, HORDEUM VULGARE EXTRACT EXTRAIT D'ORGE, TRAMETES VERSICOLOR EXTRACT, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, PEG-10 DIMETHICONE, PROPYLENE GLYCOL DICAPRATE, SORBITOL, CAPRYLYL GLYCOL, TREHALOSE, TRIETHYL CITRATE, DIPOTASSIUM GLYCYRRHIZATE, SALICYLIC ACID, SODIUM CHLORIDE, VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER, TRIETHOXYCAPRYLYLSILANE, DISTEARDIMONIUM HECTORITE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, DIMETHICONE/PEG-10/15 CROSSPOLYMER, ALUMINA, LECITHIN, ZINC STEARATE, PROPYLENE GLYCOL CAPRYLATE, SODIUM HYDROXIDE, SODIUM CITRATE, LAURETH-7, SYNTHETIC FLUORPHLOGOPITE, MAGNESIUM ALUMINUM SILICATE, HEXYLENE GLYCOL, DISODIUM EDTA, CITRIC ACID, DIPROPYLENE GLYCOL, TIN OXIDE, RESVERATROL, PHENOXYETHANOL, POTASSIUM SORBATE, [+/- TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77492), IRON OXIDES (CI 77491), IRON OXIDES (CI 77499)]",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/0773602657070/studio-radiance-24hr-luminous-lift-concealer-nc11-mac,open_beauty_facts
8719238044145,Max & More,Concealer,"Makeup, Maquillage","Aqua, Dimethicone, Propylene Glycol, Isododecane, Glycerin, Talc, PEG-10 Dimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Polymethylsilsesquioxane, Magnesium Sulfate, Phenoxyethanol, Magnesium Palmitate, Triethoxycaprylylsilane, Magnesium Stearate, Silica Dimethyl Silylate, Disteardimonium Hectorite, Hexadecene, Ethylhexylglycerin, Caprylyl Glycol,+/- CI 77891, CI 77492, CI 77491, CI 77499.",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/8719238044145/concealer-max-more,open_beauty_facts
9344329130675,Maybelline,Maybelline Instant Age Rewind Concealer Nude 02 each,,"G852364 1 INGREDIENTS: AQUA WATEREAU, CYCLOPENTASILOXANE, DIMETHICONE, ISODODECANE, GLYCERIN, PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, BUTYLENE GLYCOL, DIMETHICONE CROSSPOLYMER, NYLON-12, DISTEARDIMONIUM HECTORITE, CYCLOHEXASILOXANE, PEG-10 DIMETHICONE, CETYL PEGPPG-101 DIMETHICONE, PHENOXYETHANOL, SODIUM CHLORIDE, POLYGLYCERYL-4 ISOSTEARATE, CAPRYLYL GLYCOL, DISODIUM STEAROYL GLUTAMATE, ETHYLHEXYLGLYCERIN, METHYLPARABEN, LYCIUM BARBARUM FRUIT EXTRACT, CHLORPHENESIN, ETHYLPARABEN, ALUMINUM HYDROXIDE, PEG-9, N-HYDROXYSUCCINIMIDE, PALMITOYL OLIGOPEPTIDE, CHRYSIN, PALMITOYL TETRAPEPTIDE-7. +- MAY CONTAIN: CI 77891 TITANIUM DIOXIDE, CI 77491, CI 77492, CI 77499 IRON OXIDES FIL D449804Please be aware that ingredient lists for the products of our brand are updated regularly. Please refer to the ingredient list on your product package for the most up to date list of ingredients to ensure it is suitable to your personal use.",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/9344329130675/maybelline-instant-age-rewind-concealer-nude-02-each-l-oreal,open_beauty_facts
9344329257549,Maybelline,Maybelline Instant Age Rewind Concealer Sand 6.8mL,,"AQUA / WATER - DIMETHICONE - ISODODECANE - GLYCERIN - PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE - PROPYLENE GLYCOL - DISTEARDIMONIUM HECTORITE - SILICA - DIMETHICONE CROSSPOLYMER - PEG-10 DIMETHICONE - CETYL PEG/PPG-10/1 DIMETHICONE - PHENOXYETHANOL - SODIUM CHLORIDE - POLYGLYCERYL-4 ISOSTEARATE - CAPRYLYL GLYCOL - DISODIUM STEAROYL GLUTAMATE - ETHYLHEXYLGLYCERIN - CHLORPHENESIN - ALUMINUM HYDROXIDE - STEARETH-20 - LYCIUM BARBARUM FRUIT EXTRACT - CHLORHEXIDINE DIGLUCONATE - SODIUM BENZOATE - N-HYDROXYSUCCINIMIDE - LACTIC ACID - POTASSIUM SORBATE - TOCOPHEROL - SODIUM CITRATE - PALMITOYL TRIPEPTIDE-1 - CHRYSIN - PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE - PALMITOYL TETRAPEPTIDE-7 - CITRIC ACID - BIOTIN - [+/- MAY CONTAIN: CI 77891 / TITANIUM DIOXIDE - CI 77491, CI 77492, CI 77499 / IRON OXIDES]. (F.I.L. Z280702/1). Please be aware that ingredient lists for the products of our brand are updated regularly. Please refer to the ingredient list on your product package for the most up to date list of ingredients to ensure it is suitable to your personal use.",open_beauty_facts,,,,https://world.openbeautyfacts.org/product/9344329257549/maybelline-instant-age-rewind-concealer-sand-6-8ml-l-oreal,open_beauty_facts
